# Mandate Rescue training data. BOOTSTRAPPED from 10 repeated runs of the 180-case synthetic simulation with distinct seeds. These rows are NOT unique real customers; they are label-consistent outcomes produced by the product's own rule-based recovery pipeline. Used to train/validate an additive ML layer that does NOT drive agent decisions.
past_payment_success_rate,customer_tenure_months,past_retry_count,failure_reason,amount,mandate_limit,merchant_category,recovered
0.72,2,0,insufficient_funds,1206.45,5000.0,utility,1
0.51,17,1,bank_technical_error,13241.47,5000.0,insurance,1
0.91,40,0,bank_technical_error,12637.51,15731.27,utility,1
0.65,13,1,insufficient_funds,1232.35,5000.0,utility,1
0.59,16,1,mandate_expired,2697.19,5000.0,insurance,1
0.92,12,0,insufficient_funds,1231.01,3000.0,subscription,1
0.78,45,2,bank_technical_error,7516.4,8928.81,emi,1
0.9,7,1,insufficient_funds,10396.17,14287.56,subscription,1
0.48,28,1,mandate_revoked,1617.98,2000.0,emi,0
0.76,26,1,mandate_revoked,1432.02,5000.0,subscription,0
0.89,25,2,mandate_revoked,2680.61,5000.0,utility,0
0.94,26,0,mandate_expired,1171.1,5000.0,subscription,1
0.88,9,2,mandate_revoked,1603.69,5000.0,subscription,0
0.34,35,1,mandate_expired,1261.29,5000.0,utility,0
0.37,44,1,mandate_revoked,596.33,5000.0,insurance,0
0.94,12,2,insufficient_funds,4368.34,2000.0,utility,0
0.5,48,0,insufficient_funds,2283.95,5000.0,subscription,1
0.69,11,0,mandate_revoked,2581.91,5000.0,emi,0
0.6,42,2,mandate_expired,1295.96,5000.0,subscription,1
0.76,45,2,bank_technical_error,2569.44,2000.0,emi,1
0.96,31,1,insufficient_funds,912.66,5000.0,subscription,1
0.73,7,1,insufficient_funds,1943.96,5000.0,emi,1
0.32,46,2,mandate_revoked,2745.51,5000.0,utility,0
0.46,5,2,insufficient_funds,12404.8,15991.81,insurance,1
0.87,31,1,insufficient_funds,11571.39,16062.4,utility,1
0.61,44,2,mandate_expired,2215.93,5000.0,subscription,1
0.59,8,2,mandate_expired,1246.48,5000.0,utility,1
0.32,48,1,bank_technical_error,6085.68,9494.15,subscription,1
0.44,18,1,insufficient_funds,8924.91,5000.0,insurance,1
0.73,15,2,insufficient_funds,2628.24,5000.0,emi,1
0.8,10,1,bank_technical_error,1905.41,5000.0,subscription,1
0.65,45,2,mandate_expired,2288.0,5000.0,utility,1
0.7,4,0,insufficient_funds,1124.74,5000.0,subscription,0
0.68,19,1,insufficient_funds,752.19,5000.0,utility,1
0.35,21,0,insufficient_funds,2565.07,5000.0,subscription,1
0.98,33,2,insufficient_funds,12865.0,17369.11,emi,1
0.44,40,0,mandate_revoked,7247.14,11856.21,subscription,0
0.79,26,1,insufficient_funds,1103.93,2000.0,insurance,1
0.79,13,1,insufficient_funds,947.12,5000.0,emi,1
0.49,37,1,insufficient_funds,1689.03,5000.0,emi,1
0.64,1,2,insufficient_funds,12609.08,14389.05,emi,1
0.92,4,2,mandate_revoked,2090.13,5000.0,insurance,0
0.97,26,1,bank_technical_error,1226.6,5000.0,emi,1
0.64,14,2,insufficient_funds,2312.63,5000.0,utility,0
0.58,42,0,insufficient_funds,879.75,5000.0,subscription,1
0.48,16,0,mandate_revoked,1630.87,5000.0,emi,0
0.5,12,0,mandate_revoked,768.84,5000.0,utility,0
0.53,23,2,mandate_expired,1514.61,3000.0,utility,1
0.97,44,0,insufficient_funds,1804.27,5000.0,utility,1
0.57,22,0,mandate_revoked,572.07,5000.0,insurance,0
0.55,12,2,mandate_expired,824.79,5000.0,utility,0
0.34,22,2,mandate_expired,7493.59,5000.0,emi,1
0.62,43,0,bank_technical_error,1887.1,5000.0,emi,1
0.62,11,0,insufficient_funds,1850.86,5000.0,emi,1
0.64,16,0,insufficient_funds,722.99,5000.0,insurance,1
0.61,35,0,bank_technical_error,2875.62,5000.0,insurance,1
0.94,18,1,insufficient_funds,2985.06,5000.0,insurance,1
0.33,37,0,insufficient_funds,2429.58,5000.0,utility,1
0.45,44,2,insufficient_funds,2174.03,5000.0,subscription,0
0.64,45,1,insufficient_funds,903.52,5000.0,emi,1
0.64,8,1,insufficient_funds,9987.8,11584.84,utility,1
0.36,5,1,insufficient_funds,1280.73,5000.0,utility,1
0.53,47,2,insufficient_funds,2879.91,5000.0,utility,0
0.97,16,1,insufficient_funds,675.73,5000.0,emi,1
0.83,19,0,insufficient_funds,12033.25,16722.91,utility,1
0.63,43,1,insufficient_funds,2307.38,5000.0,subscription,1
0.34,5,1,insufficient_funds,7093.91,10131.96,subscription,1
0.92,23,0,bank_technical_error,2447.55,1000.0,emi,1
0.46,26,2,insufficient_funds,12902.46,16780.28,emi,1
0.89,10,1,mandate_revoked,745.89,5000.0,utility,0
0.54,44,1,bank_technical_error,704.03,5000.0,subscription,1
0.54,35,2,insufficient_funds,2554.08,5000.0,insurance,1
0.91,19,1,mandate_revoked,9333.58,5000.0,emi,0
0.66,25,1,mandate_expired,2171.01,5000.0,subscription,1
0.33,11,1,bank_technical_error,1200.83,5000.0,emi,1
0.79,8,0,insufficient_funds,1526.27,5000.0,utility,1
0.69,13,1,bank_technical_error,2903.42,5000.0,subscription,1
0.89,8,2,insufficient_funds,1783.8,5000.0,emi,0
0.9,6,1,insufficient_funds,1589.61,5000.0,emi,0
0.9,15,2,bank_technical_error,906.93,5000.0,utility,1
0.63,7,0,insufficient_funds,1880.02,5000.0,emi,1
0.71,11,2,mandate_revoked,2561.07,5000.0,subscription,0
0.45,33,1,insufficient_funds,1885.32,5000.0,emi,1
0.65,46,0,bank_technical_error,12472.75,5000.0,insurance,1
0.32,20,2,mandate_expired,1493.08,5000.0,subscription,1
0.55,3,1,insufficient_funds,14655.99,15686.94,emi,1
0.81,41,2,insufficient_funds,2039.25,5000.0,subscription,1
0.42,43,0,insufficient_funds,1088.43,5000.0,emi,1
0.66,1,0,mandate_expired,14359.76,16813.48,emi,0
0.8,12,1,bank_technical_error,2261.5,5000.0,utility,1
0.97,32,0,insufficient_funds,2651.19,5000.0,utility,1
0.78,36,2,bank_technical_error,1032.34,5000.0,utility,1
0.64,38,1,insufficient_funds,2441.06,5000.0,insurance,1
0.67,18,2,mandate_expired,2204.34,5000.0,emi,1
0.91,12,1,mandate_expired,737.29,5000.0,utility,0
0.34,26,1,insufficient_funds,1726.65,5000.0,subscription,1
0.92,14,0,mandate_revoked,7745.34,8916.95,insurance,0
0.53,4,2,mandate_expired,1401.5,5000.0,subscription,1
0.9,45,1,bank_technical_error,813.79,5000.0,subscription,1
0.62,31,2,insufficient_funds,13445.2,15050.55,emi,1
0.36,24,1,insufficient_funds,1258.21,5000.0,subscription,1
0.62,23,1,insufficient_funds,2726.64,5000.0,subscription,1
0.47,43,2,insufficient_funds,2366.72,5000.0,utility,1
0.43,47,2,insufficient_funds,761.39,5000.0,emi,1
0.81,11,1,insufficient_funds,13281.01,17859.72,insurance,1
0.75,44,0,insufficient_funds,1772.53,5000.0,subscription,1
0.72,38,2,bank_technical_error,8762.39,11041.24,utility,1
0.91,13,0,insufficient_funds,1874.17,5000.0,utility,1
0.39,43,1,bank_technical_error,8167.53,12488.63,insurance,1
0.37,1,2,mandate_revoked,4126.49,3000.0,utility,0
0.61,26,1,bank_technical_error,1971.92,5000.0,emi,1
0.59,31,1,mandate_expired,11752.55,14284.65,utility,1
0.66,15,0,mandate_expired,3053.75,5000.0,subscription,1
0.8,23,1,insufficient_funds,2860.33,5000.0,subscription,1
0.87,6,0,insufficient_funds,1254.85,3000.0,insurance,0
0.89,34,0,bank_technical_error,1649.55,5000.0,subscription,1
0.44,18,2,bank_technical_error,886.61,5000.0,subscription,1
0.37,36,0,mandate_expired,12593.06,16275.78,utility,1
0.87,27,1,insufficient_funds,2112.86,1000.0,utility,1
0.73,31,0,bank_technical_error,2433.87,5000.0,utility,1
0.56,36,0,insufficient_funds,793.13,5000.0,insurance,1
0.51,29,1,mandate_expired,880.09,5000.0,emi,1
0.66,41,0,mandate_expired,1191.02,5000.0,subscription,1
0.77,19,2,insufficient_funds,6141.37,7653.29,emi,1
0.65,2,1,insufficient_funds,2587.52,5000.0,utility,1
0.76,48,2,mandate_revoked,13550.66,16973.94,subscription,0
0.86,48,0,insufficient_funds,2776.96,5000.0,insurance,1
0.92,29,0,insufficient_funds,3005.09,5000.0,utility,1
0.44,21,2,mandate_expired,824.76,5000.0,insurance,1
0.71,23,2,insufficient_funds,4031.22,5000.0,emi,1
0.61,2,2,insufficient_funds,2623.01,5000.0,utility,1
0.49,7,0,insufficient_funds,4269.07,5000.0,subscription,1
0.84,11,2,bank_technical_error,2879.74,5000.0,utility,1
0.56,36,1,insufficient_funds,2782.09,5000.0,insurance,0
0.87,37,1,mandate_revoked,1228.04,5000.0,emi,0
0.36,8,0,bank_technical_error,2197.99,5000.0,insurance,1
0.7,24,1,insufficient_funds,1929.24,5000.0,emi,1
0.58,37,2,bank_technical_error,5039.51,5000.0,utility,1
0.95,1,1,bank_technical_error,2040.16,5000.0,emi,1
0.7,26,2,bank_technical_error,13556.77,16244.08,insurance,1
0.81,37,2,bank_technical_error,2822.27,5000.0,emi,1
0.35,36,0,insufficient_funds,1230.64,5000.0,subscription,1
0.93,28,1,insufficient_funds,8613.2,10796.28,insurance,1
0.78,45,2,mandate_expired,3901.94,5000.0,emi,1
0.64,20,2,bank_technical_error,2349.41,5000.0,emi,1
0.61,5,2,mandate_expired,1128.61,5000.0,subscription,1
0.43,22,0,insufficient_funds,1974.07,5000.0,emi,1
0.91,22,1,insufficient_funds,1861.57,1000.0,insurance,1
0.83,12,0,mandate_expired,11430.07,13671.55,emi,1
0.97,5,0,insufficient_funds,1185.34,5000.0,insurance,1
0.92,24,0,bank_technical_error,3541.28,5000.0,emi,1
0.88,24,2,mandate_revoked,2439.85,5000.0,insurance,0
0.76,37,0,insufficient_funds,2119.68,5000.0,subscription,1
0.89,48,0,bank_technical_error,12567.65,16311.77,utility,1
0.91,33,1,insufficient_funds,1285.48,5000.0,subscription,1
0.31,8,0,insufficient_funds,1024.12,5000.0,emi,1
0.51,42,1,mandate_expired,2766.18,5000.0,utility,1
0.86,38,1,insufficient_funds,1084.08,5000.0,subscription,1
0.5,5,2,mandate_revoked,11093.76,14522.5,insurance,0
0.37,45,0,bank_technical_error,1383.88,5000.0,subscription,1
0.39,36,0,mandate_expired,936.09,5000.0,insurance,1
0.89,38,0,insufficient_funds,1498.5,5000.0,emi,1
0.8,27,0,mandate_expired,531.1,2000.0,insurance,1
0.72,32,2,bank_technical_error,721.68,5000.0,utility,1
0.63,46,1,insufficient_funds,629.73,5000.0,subscription,1
0.41,36,2,insufficient_funds,2141.12,5000.0,utility,0
0.67,11,2,bank_technical_error,2571.3,5000.0,emi,1
0.52,29,1,bank_technical_error,2010.34,5000.0,utility,1
0.82,7,0,mandate_revoked,1849.47,5000.0,subscription,0
0.55,17,0,bank_technical_error,2774.96,5000.0,emi,1
0.72,9,0,mandate_expired,925.07,5000.0,utility,1
0.78,10,2,insufficient_funds,1812.1,5000.0,subscription,1
0.93,5,1,insufficient_funds,1966.46,1000.0,emi,1
0.43,28,2,mandate_expired,677.35,5000.0,utility,1
0.72,12,0,mandate_expired,2258.48,5000.0,utility,1
0.62,46,1,insufficient_funds,2547.31,1000.0,emi,1
0.63,4,2,bank_technical_error,13127.45,15124.12,emi,1
0.9,19,2,bank_technical_error,510.89,5000.0,subscription,1
0.4,39,2,mandate_expired,4982.8,5000.0,insurance,0
0.96,46,2,insufficient_funds,1293.36,5000.0,utility,1
0.91,15,1,insufficient_funds,1311.24,5000.0,utility,1
0.68,39,0,insufficient_funds,2025.79,5000.0,subscription,1
0.39,18,1,mandate_expired,1790.63,5000.0,utility,1
0.45,41,2,insufficient_funds,2310.77,1000.0,subscription,1
0.84,47,2,bank_technical_error,12459.93,14996.54,emi,1
0.59,34,1,insufficient_funds,2082.15,5000.0,subscription,1
0.51,11,0,bank_technical_error,2070.14,5000.0,insurance,1
0.92,16,0,insufficient_funds,1619.27,3000.0,utility,1
0.74,8,2,insufficient_funds,2400.52,5000.0,insurance,0
0.35,23,2,mandate_revoked,5743.52,8972.31,insurance,0
0.87,24,1,mandate_revoked,1591.41,5000.0,subscription,0
0.52,11,2,mandate_revoked,823.31,5000.0,subscription,0
0.88,26,2,mandate_expired,12813.48,15172.8,utility,1
0.41,25,1,mandate_expired,2269.26,5000.0,emi,1
0.63,25,2,mandate_expired,1239.74,1000.0,subscription,0
0.63,7,1,insufficient_funds,1343.25,5000.0,utility,1
0.96,40,2,insufficient_funds,1159.84,5000.0,utility,1
0.42,7,1,mandate_expired,2407.42,1000.0,subscription,1
0.4,36,2,mandate_revoked,1136.31,1000.0,utility,0
0.42,11,1,insufficient_funds,1133.07,5000.0,insurance,1
0.85,22,1,mandate_revoked,2374.44,5000.0,emi,0
0.35,5,1,mandate_expired,1038.59,5000.0,subscription,1
0.39,10,0,mandate_expired,1560.1,5000.0,subscription,1
0.64,10,2,insufficient_funds,1456.33,5000.0,insurance,0
0.44,40,2,insufficient_funds,2120.59,5000.0,emi,1
0.44,18,1,insufficient_funds,1756.26,5000.0,emi,1
0.62,3,0,insufficient_funds,2940.08,5000.0,insurance,1
0.96,1,2,insufficient_funds,1217.4,5000.0,emi,0
0.91,29,0,insufficient_funds,1693.35,5000.0,utility,1
0.65,11,1,insufficient_funds,1840.4,5000.0,insurance,1
0.66,20,1,mandate_revoked,9145.88,13668.43,utility,0
0.84,20,2,insufficient_funds,2110.94,1000.0,insurance,1
0.82,28,2,insufficient_funds,14705.25,18278.1,insurance,1
0.41,31,1,bank_technical_error,12313.76,13812.11,utility,1
0.72,26,1,insufficient_funds,1777.64,5000.0,subscription,1
0.76,33,0,insufficient_funds,1124.97,5000.0,emi,1
0.75,37,2,mandate_expired,1165.39,5000.0,insurance,1
0.73,35,2,insufficient_funds,2272.18,5000.0,utility,1
0.77,48,2,bank_technical_error,11718.6,15779.86,subscription,1
0.73,39,2,mandate_expired,2309.47,5000.0,insurance,1
0.84,6,0,mandate_revoked,13767.01,17564.09,subscription,0
0.82,3,1,bank_technical_error,972.99,5000.0,subscription,1
0.96,4,2,mandate_expired,659.63,5000.0,emi,1
0.47,10,2,mandate_revoked,2729.43,3000.0,subscription,0
0.36,19,2,bank_technical_error,2804.61,5000.0,utility,1
0.93,40,2,insufficient_funds,2055.53,5000.0,utility,1
0.98,6,0,mandate_expired,10901.99,15360.33,insurance,1
0.73,46,2,insufficient_funds,2551.17,5000.0,subscription,1
0.64,32,1,insufficient_funds,778.77,5000.0,emi,1
0.99,29,0,mandate_expired,1987.51,5000.0,subscription,1
0.36,12,1,mandate_expired,1565.24,5000.0,subscription,1
0.54,28,1,insufficient_funds,9397.81,11066.26,subscription,1
0.91,40,2,insufficient_funds,897.38,5000.0,insurance,1
0.85,5,0,insufficient_funds,2843.38,5000.0,utility,1
0.44,44,1,mandate_revoked,2785.93,5000.0,subscription,0
0.72,23,2,insufficient_funds,1303.74,5000.0,insurance,1
0.87,44,1,mandate_revoked,2232.01,5000.0,utility,0
0.78,12,0,insufficient_funds,2387.72,5000.0,utility,1
0.46,9,1,mandate_expired,2621.35,5000.0,emi,1
0.63,19,1,insufficient_funds,1660.18,5000.0,insurance,1
0.57,18,1,insufficient_funds,1003.66,2000.0,subscription,1
0.68,33,0,mandate_expired,1386.08,5000.0,subscription,1
0.97,16,1,mandate_revoked,2276.83,5000.0,emi,0
0.49,25,1,bank_technical_error,9199.05,11640.38,utility,1
0.66,21,2,insufficient_funds,1949.07,5000.0,subscription,1
0.81,44,1,mandate_expired,4494.59,5000.0,subscription,1
0.72,4,2,insufficient_funds,1482.95,5000.0,insurance,1
0.41,37,0,mandate_revoked,2733.09,5000.0,insurance,0
0.47,47,1,insufficient_funds,6513.83,7761.74,emi,1
0.96,40,2,mandate_revoked,1313.92,5000.0,insurance,0
0.36,19,2,insufficient_funds,1842.2,5000.0,subscription,1
0.88,42,2,mandate_revoked,7966.45,9490.4,insurance,0
0.46,45,1,insufficient_funds,14401.97,15754.24,emi,1
0.71,25,0,insufficient_funds,2081.19,5000.0,subscription,1
0.84,25,1,mandate_revoked,2083.13,3000.0,subscription,0
0.51,34,2,bank_technical_error,2374.92,1000.0,emi,1
0.75,34,1,insufficient_funds,1361.33,5000.0,utility,1
0.93,31,1,mandate_revoked,8158.53,11047.01,insurance,0
0.69,8,0,bank_technical_error,11455.93,15399.79,emi,1
0.35,9,2,insufficient_funds,2308.62,5000.0,emi,1
0.64,6,1,insufficient_funds,644.13,5000.0,utility,1
0.77,9,1,mandate_revoked,12030.31,5000.0,emi,0
0.39,20,2,mandate_revoked,6885.64,10328.32,utility,0
0.88,6,1,bank_technical_error,1712.02,5000.0,subscription,1
0.6,25,1,mandate_expired,9385.18,13067.05,subscription,1
0.96,34,1,mandate_revoked,1841.89,5000.0,subscription,0
0.93,47,0,bank_technical_error,1728.85,5000.0,insurance,1
0.74,41,2,mandate_expired,2896.78,5000.0,utility,1
0.36,27,2,mandate_expired,2750.8,3000.0,subscription,1
0.81,11,0,insufficient_funds,2017.43,5000.0,emi,1
0.49,18,2,mandate_expired,9143.8,10270.49,emi,1
0.43,48,2,bank_technical_error,1027.46,5000.0,emi,1
0.69,4,2,insufficient_funds,2693.98,5000.0,subscription,1
0.34,5,1,insufficient_funds,620.73,5000.0,subscription,1
0.52,9,1,insufficient_funds,1463.57,5000.0,insurance,1
0.52,37,2,mandate_expired,11175.5,14081.9,subscription,1
0.62,29,0,mandate_expired,1516.45,5000.0,subscription,0
0.63,23,1,mandate_revoked,867.32,5000.0,utility,0
0.75,6,1,mandate_revoked,2104.56,5000.0,insurance,0
0.57,19,2,insufficient_funds,820.53,5000.0,emi,1
0.92,11,0,insufficient_funds,7908.14,9914.72,emi,1
0.32,46,0,bank_technical_error,1622.96,5000.0,emi,1
0.94,8,2,mandate_revoked,1004.35,5000.0,utility,0
0.84,25,2,bank_technical_error,1265.35,5000.0,emi,1
0.68,11,1,insufficient_funds,1349.7,5000.0,insurance,1
0.65,24,1,mandate_expired,14737.05,18941.11,emi,1
0.97,23,2,mandate_revoked,2709.69,5000.0,subscription,0
0.62,40,0,mandate_expired,6251.33,7274.13,insurance,0
0.46,39,2,mandate_expired,14121.28,5000.0,utility,1
0.73,9,1,bank_technical_error,1740.0,5000.0,utility,1
0.68,38,0,insufficient_funds,7045.9,11494.94,emi,1
0.72,8,0,bank_technical_error,9546.2,10733.47,insurance,1
0.69,39,2,insufficient_funds,648.15,5000.0,insurance,1
0.63,29,2,insufficient_funds,9040.61,11839.26,insurance,1
0.76,8,1,insufficient_funds,1347.24,5000.0,insurance,1
0.79,31,1,mandate_revoked,1774.25,5000.0,insurance,0
0.4,25,1,insufficient_funds,1774.31,5000.0,emi,1
0.91,43,1,insufficient_funds,1292.37,5000.0,emi,1
0.82,25,1,mandate_expired,2034.31,5000.0,insurance,1
0.75,14,0,bank_technical_error,504.56,5000.0,subscription,1
0.89,37,0,mandate_expired,13090.67,15109.78,emi,1
0.82,44,1,bank_technical_error,2540.13,5000.0,utility,1
0.74,34,2,insufficient_funds,2540.83,5000.0,subscription,1
0.98,19,2,insufficient_funds,1527.2,5000.0,subscription,1
0.42,27,2,bank_technical_error,4073.56,1000.0,emi,1
0.75,40,1,insufficient_funds,803.4,5000.0,insurance,0
0.88,28,0,mandate_expired,2390.13,5000.0,subscription,0
0.91,38,1,insufficient_funds,1008.23,5000.0,subscription,1
0.59,44,2,mandate_expired,10466.16,12493.86,utility,0
0.73,17,2,mandate_revoked,2105.45,5000.0,subscription,0
0.7,18,1,insufficient_funds,2334.17,5000.0,utility,1
0.71,27,1,mandate_revoked,873.76,5000.0,insurance,0
0.84,12,2,insufficient_funds,10691.35,12104.89,insurance,1
0.54,13,0,bank_technical_error,1868.71,5000.0,emi,1
0.45,13,1,insufficient_funds,11793.91,14911.16,subscription,1
0.78,30,1,mandate_expired,2147.7,5000.0,utility,1
0.55,32,0,bank_technical_error,2988.55,1000.0,emi,1
0.92,32,1,mandate_expired,1259.88,5000.0,emi,1
0.67,43,0,insufficient_funds,13715.24,17825.42,insurance,1
0.49,25,2,mandate_revoked,3627.99,5000.0,utility,0
0.84,16,1,mandate_expired,2494.53,5000.0,subscription,1
0.87,38,0,mandate_expired,653.73,5000.0,insurance,1
0.41,4,0,insufficient_funds,881.37,5000.0,insurance,1
0.92,47,2,mandate_expired,1774.34,5000.0,utility,1
0.36,16,1,bank_technical_error,2221.98,5000.0,utility,1
0.97,1,0,insufficient_funds,6916.45,11349.75,utility,1
0.9,29,0,mandate_expired,763.52,5000.0,utility,1
0.58,46,0,mandate_expired,9093.12,11203.7,insurance,1
0.64,33,2,insufficient_funds,2733.92,5000.0,insurance,1
0.78,38,2,mandate_revoked,1712.08,5000.0,insurance,0
0.78,40,2,mandate_expired,2979.27,5000.0,utility,1
0.33,38,2,insufficient_funds,2449.73,5000.0,emi,1
0.55,41,2,insufficient_funds,1779.43,5000.0,insurance,1
0.48,6,0,mandate_revoked,2375.55,5000.0,subscription,0
0.45,2,2,insufficient_funds,2246.32,2000.0,subscription,1
0.8,34,2,insufficient_funds,899.39,5000.0,utility,1
0.41,32,0,bank_technical_error,1203.06,5000.0,insurance,1
0.98,23,1,mandate_revoked,2293.77,5000.0,insurance,0
0.62,5,2,insufficient_funds,2747.73,5000.0,subscription,1
0.37,18,2,mandate_expired,3998.78,5000.0,insurance,1
0.48,30,0,mandate_expired,1803.09,5000.0,emi,1
0.71,9,1,bank_technical_error,2612.1,5000.0,emi,1
0.97,36,0,bank_technical_error,2903.93,5000.0,subscription,1
0.94,11,1,mandate_expired,2446.22,5000.0,insurance,1
0.82,2,2,insufficient_funds,2223.17,5000.0,insurance,1
0.85,41,0,mandate_revoked,10545.25,11561.6,subscription,0
0.54,28,2,bank_technical_error,6380.16,10225.65,emi,1
0.5,34,1,insufficient_funds,2268.93,2000.0,utility,1
0.32,48,1,bank_technical_error,14713.58,18767.81,insurance,1
0.8,17,0,insufficient_funds,2310.33,5000.0,subscription,1
0.86,33,0,insufficient_funds,2439.74,2000.0,subscription,1
0.74,10,1,insufficient_funds,11168.91,14948.36,insurance,0
0.86,16,1,mandate_expired,1339.6,3000.0,emi,1
0.59,29,1,insufficient_funds,842.8,5000.0,utility,1
0.88,28,0,insufficient_funds,2443.59,5000.0,insurance,1
0.81,35,0,insufficient_funds,2356.41,2000.0,insurance,1
0.79,37,0,insufficient_funds,2545.73,5000.0,subscription,0
0.48,36,2,mandate_expired,601.36,1000.0,emi,1
0.86,30,0,insufficient_funds,655.96,5000.0,insurance,0
